visitor,Opponent,Date,game_id,season,game_net_rating,win_percent_diff,games_played,net_rating_diff,score_diff,wins_vis,loss_vis,hollow_wind60_cent,hollow_wind50_cent,hollow_wind40_cent,hollow_wind30_cent,hollow_wind20_cent,wind_10_center,wind_40_hollow,wind_35_hollow,wind_30_hollow,wind_25_hollow,wind_20_hollow,wind_15_hollow,wind_10_hollow_5,wind_5_hollow,wind_7_hollow,wind_10_hollow,wind_2,wind_5,wind_7,wind_10,wind_15,wind_20,wind_25,wind_30,wind_35,wind_40
Denver Nuggets,Detroit Pistons,2012-12-11,21200306,2012-13,6.3,0.17184265010352,21,-2.2,7,11,11,41.7,121.9,77.6,-20.2,32.9,3.9,0,0,0,44,44.5,-39.8,25.9,-19,26.5,-0.600000000000001,-2.6,-21.6,4.9,4.3,-35.5,9,53,53,53,53
Los Angeles Clippers,Chicago Bulls,2012-12-11,21200308,2012-13,6.6,0.121052631578947,20,3.9,5,15,6,49.3,-48.1,-47.3,114.2,-11.9,157.9,0,0,0,0,-34.6,102.8,-40.1,50.3,-32.5,-7.6,28.3,78.6,46.1,38.5,141.3,106.7,106.7,106.7,106.7,106.7
Los Angeles Lakers,Cleveland Cavaliers,2012-12-11,21200305,2012-13,-8,0.238095238095238,21,-11.9,-6,9,13,-57.7,35.8,44.8,127.4,20.7,117.5,0,0,0,-9.80000000000001,38.1,93.5,26.4,34.8,30.5,-4.1,16.6,51.4,81.9,77.8,171.3,209.4,199.6,199.6,199.6,199.6
New York Knicks,Brooklyn Nets,2012-12-11,21200304,2012-13,4.9,0.171052631578947,19,-7.1,3,16,5,-3.90000000000001,104.1,44.4,-87.3,12.8,93.9,0,0,0,0,59.4,-6.90000000000001,-41.7,60.3,-15.2,-26.5,11.5,71.8,56.6,30.1,23.2,82.6,82.6,82.6,82.6,82.6
Atlanta Hawks,Orlando Magic,2012-12-12,21200310,2012-13,5.6,0.266666666666667,17,11.8,6,13,6,104.2,44.2,49.6,27.4,123.5,-45.3,0,0,0,0,27.3,39.2,54.4,-3.8,47.8,6.6,1.9,-1.9,45.9,52.5,91.7,119,119,119,119,119
Brooklyn Nets,Toronto Raptors,2012-12-12,21200309,2012-13,6.8,0.368181818181818,21,-6.1,6,12,9,-57.9,-43.8,52.6,128.4,32,-35.4,0,0,0,2.20000000000002,34.7,34.4,101.1,13.1,45.9,55.2,26.7,39.8,85.7,140.9,175.3,210,212.2,212.2,212.2,212.2
Chicago Bulls,Philadelphia 76ers,2012-12-12,21200312,2012-13,8.9,-0.0214285714285714,20,12,7,12,9,-4.5,-5.90000000000001,79.9,107.1,69.9,68.7,0,0,0,0,64.8,-19.6,38,32.2,27.5,10.5,12.7,44.9,72.4,82.9,63.3,128.1,128.1,128.1,128.1,128.1
Cleveland Cavaliers,Indiana Pacers,2012-12-12,21200311,2012-13,-16.5,-0.248917748917749,23,4.6,-15,5,18,-77.4,-116.6,10.2,-82.5,-1.6,-121.1,0,0,0,-21.7,-3.1,-32.2,-9,-43.7,-0.500000000000004,-8.5,13.2,-30.5,-31,-39.5,-71.7,-74.8,-96.5,-96.5,-96.5,-96.5
Dallas Mavericks,Boston Celtics,2012-12-12,21200315,2012-13,0,-0.0261904761904762,20,2.9,-2,11,11,60.2,-39.7,94.5,-105.7,-33.3,-23.1,0,0,0,0,43.2,-58.9,-18.1,-26.3,-20.1,2,15.9,-10.4,-30.5,-28.5,-87.4,-44.2,-44.2,-44.2,-44.2,-44.2
Denver Nuggets,Minnesota Timberwolves,2012-12-12,21200319,2012-13,-3,0,22,5.8,-3,11,12,1.29999999999998,113.6,50.1,45.7,76.5,1.2,0,0,0,-8.6,31.9,-64.4,24.3,-18.6,-18.3,42.6,-7.1,-25.7,-44,-1.4,-65.8,-33.9,-42.5,-42.5,-42.5,-42.5
Golden State Warriors,Miami Heat,2012-12-12,21200314,2012-13,3.2,-0.0701754385964912,21,12.9,2,15,7,-101.8,-88.7,-44.2,-129.1,38.2,-47,0,0,0,0,9.50000000000001,-69,0.100000000000001,-1.4,5.4,-5.3,25.2,23.8,29.2,23.9,-45.1,-35.6,-35.6,-35.6,-35.6,-35.6
Memphis Grizzlies,Phoenix Suns,2012-12-12,21200320,2012-13,-3.5,0.45959595959596,17,4.6,-2,14,5,90.5,61.1,-13.4,189.1,56.2,119.5,0,0,0,0,31,97.3,37.1,49.3,61.5,-24.4,26.7,76,137.5,113.1,210.4,241.4,241.4,241.4,241.4,241.4
Sacramento Kings,Milwaukee Bucks,2012-12-12,21200316,2012-13,-12.9,-0.176315789473684,21,-4.3,-13,7,14,-5.70000000000002,-65.9,-80.5,-84.8,1.6,-27.4,0,0,0,0,-18.2,-71.4,3.7,-2.6,-2.6,6.3,0.2,-2.4,-5,1.3,-70.1,-88.3,-88.3,-88.3,-88.3,-88.3
San Antonio Spurs,Utah Jazz,2012-12-12,21200321,2012-13,-3.2,0.272727272727273,21,6.2,-3,18,5,27.4,72.6,82.2,40,165.9,94.3,0,0,0,0,39.5,7.39999999999998,77.1,14.1,58,19.1,-15,-0.899999999999999,57.1,76.2,83.6,123.1,123.1,123.1,123.1,123.1
Washington Wizards,Houston Rockets,2012-12-12,21200317,2012-13,-6,-0.283333333333333,16,-2.8,-6,3,16,11.9,-66.1,80,-66.7,-98.8,-146,0,0,0,0,2.7,-20.7,-63.4,0,-21.6,-41.8,0.300000000000001,0.300000000000001,-21.3,-63.1,-83.8,-81.1,-81.1,-81.1,-81.1,-81.1
Los Angeles Lakers,New York Knicks,2012-12-13,21200323,2012-13,-9.6,-0.352813852813853,22,3,-9,9,14,36,-75.9,-48.6,30.3,-18.9,-47,0,0,0,-7.8,-47.4,29.9,-0.299999999999997,-36,-17.2,16.9,-24.7,-60.7,-77.9,-61,-31.1,-78.5,-86.3,-86.3,-86.3,-86.3
San Antonio Spurs,Portland Trail Blazers,2012-12-13,21200324,2012-13,-7.3,0.354037267080745,22,2,-8,18,6,87.9,65.3,87.8,83.6,159.8,124.3,0,0,0,2.19999999999999,60.8,11.7,97.3,61.9,27.9,69.4,4.5,66.4,94.3,163.7,175.4,236.2,238.4,238.4,238.4,238.4
Boston Celtics,Houston Rockets,2012-12-14,21200332,2012-13,-12.4,0.0952380952380952,22,-3.1,-12,12,10,4.6,-36.2,4.7,62.5,-104.6,-29,0,0,0,-12.1,5.6,23.3,-30.7,28.1,19.7,-50.4,17.7,45.8,65.5,15.1,38.4,44,31.9,31.9,31.9,31.9
Dallas Mavericks,Toronto Raptors,2012-12-14,21200325,2012-13,-25.1,0.326086956521739,21,0.1,-21,11,12,53.6,-10.5,65.5,46.6,-107.7,24.7,0,0,0,8.19999999999999,34.1,-7.09999999999998,9.79999999999998,49,-11.6,21.4,49.7,98.7,87.1,108.5,101.4,135.5,143.7,143.7,143.7,143.7
Detroit Pistons,Brooklyn Nets,2012-12-14,21200328,2012-13,0.1,-0.279761904761905,25,1.9,-2,7,18,-25.8,-41.3,-82.9,-100.4,37.1,47.5,0,0,0,-65.3,-34.5,-34,-3.2,23.6,-4.3,1.09999999999999,-17.1,6.5,2.2,3.3,-30.7,-65.2,-130.5,-130.5,-130.5,-130.5
Golden State Warriors,Orlando Magic,2012-12-14,21200330,2012-13,-15.1,0.300865800865801,22,15.8,-14,15,8,64.7,-11.4,92.7,27.7,117.6,54.8,0,0,0,-12.6,32.3,19.6,48.3,16,17.2,31.1,3.3,19.3,36.5,67.6,87.2,119.5,106.9,106.9,106.9,106.9
Los Angeles Lakers,Washington Wizards,2012-12-14,21200326,2012-13,5.2,0.233409610983982,23,-7.7,6,10,14,-46.5,-39.4,60.7,42.6,55.9,119.1,0,0,0,-17.1,59.4,42,65.2,11.7,34.6,30.6,-8.6,3.1,37.7,68.3,110.3,169.7,152.6,152.6,152.6,152.6
Memphis Grizzlies,Denver Nuggets,2012-12-14,21200335,2012-13,-6.7,0.25858123569794,18,6.8,-5,14,6,33.3,1.39999999999998,-93.7,102.6,17,1.3,0,0,0,23.4,-41.6,98.6,47.7,21,47.4,0.299999999999997,-16.9,4.1,51.5,51.8,150.4,108.8,132.2,132.2,132.2,132.2
Milwaukee Bucks,Cleveland Cavaliers,2012-12-14,21200329,2012-13,3.2,0.332608695652174,17,-4.2,4,12,9,-48.6,65.2,40.1,47,43.4,34.1,0,0,0,24.6,47.4,7.20000000000001,12.4,23.7,-3,15.4,30.8,54.5,51.5,66.9,74.1,121.5,146.1,146.1,146.1,146.1
Philadelphia 76ers,Indiana Pacers,2012-12-14,21200327,2012-13,-10,0.0454545454545454,21,-9.2,-10,12,11,-150.7,-54.5,16.2,-92.2,-18.6,-122.5,0,0,0,0,6.3,-6,-9.8,-43.4,6.4,-16.2,-3.7,-47.1,-40.7,-56.9,-62.9,-56.6,-56.6,-56.6,-56.6,-56.6
Sacramento Kings,Oklahoma City Thunder,2012-12-14,21200333,2012-13,-11.9,-0.484848484848485,22,-5.8,-10,7,15,-75.6,-135.1,-89.3,-235.2,-109.1,-110.6,0,0,0,-5.2,-30.7,-100.6,-45.8,-4.8,-40.8,-4.99999999999999,-54.7,-59.5,-100.3,-105.3,-205.9,-236.6,-241.8,-241.8,-241.8,-241.8
Utah Jazz,Phoenix Suns,2012-12-14,21200334,2012-13,-16.5,0.217391304347826,22,1.2,-15,13,11,76.8,90.9,-5.60000000000001,25.7,68.5,69.3,0,0,0,19,32.2,0.5,21.6,66.6,-6.4,28,16.1,82.7,76.3,104.3,104.8,137,156,156,156,156
Boston Celtics,San Antonio Spurs,2012-12-15,21200344,2012-13,-15.6,-0.204545454545455,23,-6,-15,12,11,-37.2,-37.7,-34.7,-87.6,-145.2,-81.3,0,0,0,-36.4,-5.2,-50.1,-39.2,-12.8,14.6,-53.8,-1.9,-14.7,-0.0999999999999979,-53.9,-104,-109.2,-145.6,-145.6,-145.6,-145.6
Brooklyn Nets,Chicago Bulls,2012-12-15,21200341,2012-13,-1.2,0.0194805194805195,23,-6,-1,13,10,41.4,1.90000000000001,-42.7,74.8,-53.6,-58.9,0,0,0,-6.6,-4.7,60,-21.8,-49.4,-22.3,0.500000000000007,4.4,-45,-67.3,-66.8,-6.8,-11.5,-18.1,-18.1,-18.1,-18.1
Cleveland Cavaliers,New York Knicks,2012-12-15,21200338,2012-13,-1.1,-0.564393939393939,25,14.9,-1,5,20,65.3,-69.4,-170.1,14.4,-163.8,-87.4,0,0,0,-17.5,-136.3,17.9,-89.9,-39.2,-53.2,-36.7,-34.2,-73.4,-126.6,-163.3,-145.4,-281.7,-299.2,-299.2,-299.2,-299.2
Dallas Mavericks,Minnesota Timberwolves,2012-12-15,21200342,2012-13,-6.6,-0.0717391304347826,22,12.3,-8,11,13,44.1,53.6,48.5,74.7,-74.3,-74.7,0,0,0,7.8,-9.6,-19.1,-33.9,13.7,-8.2,-25.7,-46.7,-33,-41.2,-66.9,-86,-95.6,-87.8,-87.8,-87.8,-87.8
Golden State Warriors,Atlanta Hawks,2012-12-15,21200337,2012-13,20.9,-0.0478260869565217,23,4,22,16,8,-46.6,-77.4,-3.2,75.8,-42.4,14,0,0,0,-7.3,-19.1,30.9,-30.8,-3.4,-1.4,-29.4,-8.7,-12.1,-13.5,-42.9,-12,-31.1,-38.4,-38.4,-38.4,-38.4
Indiana Pacers,Detroit Pistons,2012-12-15,21200340,2012-13,11.7,0.241739130434783,22,1.3,11,13,11,154.6,101.5,56.5,-3.49999999999999,-33.8,38.2,0,0,0,63.7,-7.4,10.1,-24.4,-5.6,-10.9,-13.5,32.7,27.1,16.2,2.7,12.8,5.4,69.1,69.1,69.1,69.1
Los Angeles Clippers,Milwaukee Bucks,2012-12-15,21200343,2012-13,30.9,0.155844155844156,21,6.3,26,17,6,47.7,-11.3,-14.2,126.5,57.6,151.1,0,0,0,0,17.6,54.1,52.9,43.3,69.6,-16.7,12.6,55.9,125.5,108.8,162.9,180.5,180.5,180.5,180.5,180.5
Memphis Grizzlies,Utah Jazz,2012-12-15,21200345,2012-13,14.4,0.158333333333333,19,3.4,13,15,6,18.2,12.4,72.9,34.8,103,-15.5,0,0,0,-6.2,11.9,59.3,73.4,-53.3,46.6,26.8,3.1,-50.2,-3.6,23.2,82.5,94.4,88.2,88.2,88.2,88.2
Washington Wizards,Miami Heat,2012-12-15,21200339,2012-13,-33,-0.55,18,3.6,-30,3,18,-44.5,-58,-82.7,-65.3,-110.9,-107.2,0,0,0,0,-30.6,-46.7,-76.8,7.7,-23.6,-53.2,-16.8,-9.1,-32.7,-85.9,-132.6,-163.2,-163.2,-163.2,-163.2,-163.2
Denver Nuggets,Sacramento Kings,2012-12-16,21200348,2012-13,26.9,0.181818181818182,24,0.4,25,13,12,18.1,116.1,164.6,116.5,-2.1,68,0,0,0,-9.40000000000001,60.9,30.8,9.7,-0.999999999999999,33.9,-24.2,28.5,27.5,61.4,37.2,68,128.9,119.5,119.5,119.5,119.5
Houston Rockets,Toronto Raptors,2012-12-16,21200346,2012-13,-8.5,0.291666666666667,22,0.3,-7,11,12,24.7,36.8,37.9,-6.6,72.3,81,0,0,0,-3.60000000000001,35,-5.5,76.1,41.2,18.9,57.2,0.0999999999999979,41.3,60.2,117.4,111.9,146.9,143.3,143.3,143.3,143.3
Los Angeles Lakers,Philadelphia 76ers,2012-12-16,21200347,2012-13,15.3,-0.105072463768116,24,1.9,13,11,14,50,-41.7,106.3,79.5,53.6,14.5,0,0,0,-36.3,94,17.3,58.1,-14.8,13,45.1,14.5,-0.300000000000001,12.7,57.8,75.1,169.1,132.8,132.8,132.8,132.8
Chicago Bulls,Memphis Grizzlies,2012-12-17,21200353,2012-13,-9.1,-0.123376623376623,22,-0.5,-9,13,10,-126.5,6,-25.4,22.1,-16.2,0.9,0,0,0,5.2,-0.599999999999994,-66.3,-6.6,13.1,-1.8,-4.8,2.4,15.5,13.7,8.9,-57.4,-58,-52.8,-52.8,-52.8,-52.8
Houston Rockets,New York Knicks,2012-12-17,21200351,2012-13,11.9,-0.304347826086957,23,13.5,13,12,12,17.9,53,-106.4,-31.6,-68.3,47.8,0,0,0,-7.8,-78.9,13.5,-77,-5.2,-48.8,-28.2,-6.8,-12,-60.8,-89,-75.5,-154.4,-162.2,-162.2,-162.2,-162.2
Los Angeles Clippers,Detroit Pistons,2012-12-17,21200352,2012-13,14,0.469899665551839,22,8,12,18,6,118.3,47,25.1,100.9,40.8,166.9,0,0,8.2,75.4,15.6,32.6,53.2,67.9,54.5,-1.3,49.1,117,171.5,170.2,202.8,218.4,293.8,302,302,302
Minnesota Timberwolves,Orlando Magic,2012-12-17,21200350,2012-13,-7.2,0.136645962732919,20,-3.2,-9,12,10,29.9,-23.4,125.3,-10.2,-2.10000000000001,78,0,0,0,-35.6,106.3,-9.4,16.9,34.8,-12.4,29.3,0.0999999999999996,34.9,22.5,51.8,42.4,148.7,113.1,113.1,113.1,113.1
Sacramento Kings,Phoenix Suns,2012-12-17,21200355,2012-13,-9.6,-0.0706521739130435,24,-2.6,-11,7,17,4.89999999999998,0.30000000000004,-55.9,-30.9,70.4,-14.5,0,0,0,-24.6,3.7,-4.4,14.5,15.6,30.7,-16.2,-58.8,-43.2,-12.5,-28.7,-33.1,-29.4,-54,-54,-54,-54
San Antonio Spurs,Oklahoma City Thunder,2012-12-17,21200354,2012-13,-12.4,-0.0660869565217391,24,4.2,-14,19,7,19.7,35.9,-14.5000000000001,-11,34.7,34.9,0,0,0,37.5,-35.6,17.7,25.5,-2.7,-12.4,37.9,-16.4,-19.1,-31.5,6.39999999999999,24.1,-11.5,26,26,26,26
Atlanta Hawks,Washington Wizards,2012-12-18,21200356,2012-13,4.9,0.523809523809524,19,5.3,5,15,7,19,6.8,3.1,-56.4,99.1,103.6,0,0,0,0,23,35.8,60.2,27.5,15.2,45,22.9,50.4,65.6,110.6,146.4,169.4,169.4,169.4,169.4,169.4
Boston Celtics,Chicago Bulls,2012-12-18,21200360,2012-13,-12.8,-0.0434782608695652,24,-2.7,-11,12,12,45.3,10.8,13.2,-39,-55.8,-17.3,0,0,0,-56,7.7,18.3,-29.1,3.2,-12,-17.1,-20.1,-16.9,-28.9,-46,-27.7,-20,-76,-76,-76,-76
Indiana Pacers,Milwaukee Bucks,2012-12-18,21200361,2012-13,-3.1,-0.00378787878787878,23,-0.4,-5,13,12,90.8,106.5,-30.3,-51.8,88.7,56.3,0,0,0,8.7,-23.6,-27.8,36,-9.9,20.7,15.3,49.4,39.5,60.2,75.5,47.7,24.1,32.8,32.8,32.8,32.8
Minnesota Timberwolves,Miami Heat,2012-12-18,21200359,2012-13,-12.2,-0.168831168831169,21,-6.1,-11,12,11,-133.6,-84.6,-101.5,-88.7,-72.2,-24.3,0,0,0,0,-26,-10.4,-13.6,32.3,8.6,-22.2,-30.4,1.9,10.5,-11.7,-22.1,-48.1,-48.1,-48.1,-48.1,-48.1
Philadelphia 76ers,Dallas Mavericks,2012-12-18,21200362,2012-13,-7.7,0.0416666666666667,23,-12.2,-7,12,13,-81.9,-47.3,-44.5,-35.9,-1.00000000000001,42.5,0,0,0,-1,-53.5,42.5,15.8,-49.6,4.7,11.1,6.4,-43.2,-38.5,-27.4,15.1,-38.4,-39.4,-39.4,-39.4,-39.4
San Antonio Spurs,Denver Nuggets,2012-12-18,21200363,2012-13,-4.6,0.210769230769231,25,9.6,-6,19,8,68.6,62.6,-2.40000000000001,110.9,42.1,91.3,0,0,0,25.3,23.6,49.1,70.1,-4.9,31.6,38.5,-30.4,-35.3,-3.7,34.8,83.9,107.5,132.8,132.8,132.8,132.8
Toronto Raptors,Cleveland Cavaliers,2012-12-18,21200357,2012-13,14.8,0.04,25,-1.7,14,7,19,-54.6,39.6,30.8,29.9,-20.1,77.5,0,0,0,19.6,6.3,0.200000000000003,-22.7,-28.4,-7.19999999999999,-15.5,37.9,9.5,2.3,-13.2,-13,-6.7,12.9,12.9,12.9,12.9
Utah Jazz,Brooklyn Nets,2012-12-18,21200358,2012-13,2.3,-0.0452173913043478,24,3.1,2,14,12,-7.8,103.2,-141.6,-27.6,-33.4,21.1,0,0,0,38.1,-82.7,-11.6,-8.5,50.6,19.7,-28.2,-29.6,21,40.7,12.5,0.899999999999999,-81.8,-43.7,-43.7,-43.7,-43.7
Brooklyn Nets,New York Knicks,2012-12-19,21200367,2012-13,-15.3,-0.208333333333333,25,7.1,-14,13,12,5.59999999999999,-20,-125.1,68.4,-3.59999999999999,-65.1,0,0,0,-35.5,-3.50000000000001,42.2,-81.9,-16.6,-30.9,-51,7.3,-9.3,-40.2,-91.2,-49,-52.5,-88,-88,-88,-88
Cleveland Cavaliers,Boston Celtics,2012-12-19,21200370,2012-13,-11.3,-0.307692307692308,27,4.5,-12,5,22,-18.3,-32.5,-90.3,-38.8,-112.6,50.5,0,0,9.79999999999998,-25.5,-39.7,-20.9,-59.4,-18,-34.9,-24.5,12.5,-5.5,-40.4,-64.9,-85.8,-125.5,-151,-141.2,-141.2,-141.2
Detroit Pistons,Toronto Raptors,2012-12-19,21200366,2012-13,-9.2,-0.00997150997150997,28,-4.2,-6,7,21,-80.1,-65.8,-6.80000000000001,75.9,69.4,-50.8,0,0,-11.4,-64.1,39.6,67,53.7,-14.5,60.4,-6.7,-49,-63.5,-3.1,-9.8,57.2,96.8,32.7,21.3,21.3,21.3
Golden State Warriors,Sacramento Kings,2012-12-19,21200375,2012-13,-5.1,0.388333333333333,24,13.6,-4,17,9,57.8,-17.2,121.2,18.8,20.4,154.1,0,0,0,16,42.4,-3.89999999999999,29.4,62.7,-30.6,60,42.3,105,74.4,134.4,130.5,172.9,188.9,188.9,188.9,188.9
Milwaukee Bucks,Memphis Grizzlies,2012-12-19,21200374,2012-13,-11.4,-0.16205533596838,20,-2.9,-10,13,11,-71.9,-8.79999999999998,-60.4,3.1,-165.9,40.9,0,0,0,0,-37.4,-36.5,-81,45.8,-12.1,-68.9,-51.3,-5.5,-17.6,-86.5,-123,-160.4,-160.4,-160.4,-160.4,-160.4
Oklahoma City Thunder,Atlanta Hawks,2012-12-19,21200371,2012-13,8.5,0.151515151515152,21,-3.8,8,21,4,-4.50000000000001,68.9,31.3,104.8,113,80.6,0,0,0,0,33,13.3,18.8,18.7,23.2,-4.4,40.3,59,82.2,77.8,91.1,124.1,124.1,124.1,124.1,124.1
Philadelphia 76ers,Houston Rockets,2012-12-19,21200372,2012-13,-20.8,-0.02,24,-12.4,-22,12,14,-46,-116.6,-23.8,-3.5,-108.7,-56.5,0,0,0,-38.4,-0.500000000000002,-24,5.8,-23.4,11.8,-6,-26.4,-49.8,-38,-44,-68,-68.5,-106.9,-106.9,-106.9,-106.9
Utah Jazz,Indiana Pacers,2012-12-19,21200369,2012-13,-20.8,0.0184615384615384,25,-0.1,-20,14,13,-61.5,-36.2,-85.1,35.5,24.9,-94.5,0,0,0,21.4,8,3.1,17.3,-19.1,34,-16.7,-20.7,-39.8,-5.8,-22.5,-19.4,-11.4,10,10,10,10
Washington Wizards,Orlando Magic,2012-12-19,21200368,2012-13,-6.7,-0.321969696969697,20,6.5,-7,3,20,71.7,30.6,142.7,63.7,-54.7,-59.7,0,0,0,-29.1,48.8,-15.5,-23.3,-8,-4.2,-19.1,-60.2,-68.2,-72.4,-91.5,-107,-58.2,-87.3,-87.3,-87.3,-87.3
Denver Nuggets,Portland Trail Blazers,2012-12-20,21200379,2012-13,-8.9,0.060200668896321,26,-7.6,-8,14,13,59.1,11.2,86.1,42.6,46,72.3,0,0,0,-13.3,29.7,27.6,9.9,39.6,21.4,-11.5,5.3,44.9,66.3,54.8,82.4,112.1,98.8,98.8,98.8,98.8
Miami Heat,Dallas Mavericks,2012-12-20,21200378,2012-13,13.2,0.247272727272727,22,-6.2,15,17,6,62.4,30.4,107.5,15.3,69.8,125.3,0,0,0,-3.09999999999999,73.9,5.6,42.5,-16.6,0.299999999999997,42.2,44.1,27.5,27.8,70,75.6,149.5,146.4,146.4,146.4,146.4
Oklahoma City Thunder,Minnesota Timberwolves,2012-12-20,21200377,2012-13,-5.3,0.318260869565217,22,11.2,-6,21,5,77.3,106.1,106.5,114.9,151.3,94.4,0,0,0,-14.1,44.4,47.9,18,1.5,10.4,7.6,40.3,41.8,52.2,59.8,107.7,152.1,138,138,138,138
Atlanta Hawks,Philadelphia 76ers,2012-12-21,21200381,2012-13,-19.5,0.190635451505017,21,14.9,-19,15,9,63.8,115,-26.9,-34.2,132.9,65.9,0,0,0,28.7,-6.89999999999999,31.2,58.4,10.1,28.5,29.9,24.9,35,63.5,93.4,124.6,117.7,146.4,146.4,146.4,146.4
Chicago Bulls,New York Knicks,2012-12-21,21200383,2012-13,4.1,-0.176666666666667,24,13.1,4,15,10,-44.3,-25.2,-86.8,43.4,23.7,-22.7,0,0,0,-21.3,-49.7,25.1,-19.1,-12.1,19.7,-38.8,0.3,-11.8,7.9,-30.9,-5.8,-55.5,-76.8,-76.8,-76.8,-76.8
Dallas Mavericks,Memphis Grizzlies,2012-12-21,21200386,2012-13,-9.8,-0.277591973244147,25,-0.3,-10,12,15,-75.2,80,-119.1,-8.80000000000001,-53.2,-131.9,0,0,0,29.8,-95.6,-81.3,-2.79999999999999,-35.9,33,-35.8,-26,-61.9,-28.9,-64.7,-146,-241.6,-211.8,-211.8,-211.8,-211.8
Indiana Pacers,Cleveland Cavaliers,2012-12-21,21200385,2012-13,10.4,0.353276353276353,25,-4.6,10,15,12,48.6,80.5,127.1,-4.29999999999998,80.8,95.4,0,0,21.7,3.1,32.2,9,30.5,59,-13.2,43.7,43.8,102.8,89.6,133.3,142.3,174.5,177.6,199.3,199.3,199.3
Milwaukee Bucks,Boston Celtics,2012-12-21,21200382,2012-13,4.8,0.0216666666666666,21,0.3,5,14,11,-34.9,-16.2,-68.9,88.1,-144.4,91.7,0,0,0,21.4,-31.3,42.1,-61.9,13.2,-17.6,-44.3,-6.8,6.4,-11.2,-55.5,-13.4,-44.7,-23.3,-23.3,-23.3,-23.3
Orlando Magic,Toronto Raptors,2012-12-21,21200380,2012-13,-3.3,0.183703703703704,25,-9,-3,12,14,2.80000000000001,-37.4,-146.4,11.7,36.8,-97.7,0,0,2.19999999999999,35.7,-55.9,21.4,71.7,-8.8,25.3,46.4,-10.1,-18.9,6.4,52.8,74.2,18.3,54,56.2,56.2,56.2
Sacramento Kings,Los Angeles Clippers,2012-12-21,21200388,2012-13,-12.9,-0.44,26,-10.6,-12,8,18,-78.3,-50.3,-159.8,-107.8,-130.6,-220.5,0,0,0,-36.8,-110.1,-5.60000000000002,-83.4,-100.7,-26,-57.4,-49.4,-150.1,-176.1,-233.5,-239.1,-349.2,-386,-386,-386,-386
Washington Wizards,Detroit Pistons,2012-12-21,21200384,2012-13,-35.6,-0.119565217391304,21,1.7,-32,3,21,127.4,90.5,-17.9,22.9,-65.5,-55.2,0,0,44,48.5,-56,-44.4,-24.8,-26.3,-13.6,-11.2,11.6,-14.7,-28.3,-39.5,-83.9,-139.9,-91.4,-47.4,-47.4,-47.4
Chicago Bulls,Atlanta Hawks,2012-12-22,21200391,2012-13,-19.5,-0.025,25,-2.9,-17,15,11,-35,-70.7,4.79999999999999,66.1,69.4,76.9,0,0,0,42.1,-26.9,3.40000000000001,6.9,11.4,1.6,5.3,44.9,56.3,57.9,63.2,66.6,39.7,81.8,81.8,81.8,81.8
Cleveland Cavaliers,Milwaukee Bucks,2012-12-22,21200395,2012-13,11.8,-0.381428571428571,29,4.2,12,6,23,-46.7,1.2,-47.8,-5.10000000000001,-94.3,-40.6,0,0,-24.6,-47.4,-7.2,-12.4,-54.5,5.5,-30.8,-23.7,-15.1,-9.6,-40.4,-64.1,-76.5,-83.7,-131.1,-155.7,-155.7,-155.7
Detroit Pistons,Washington Wizards,2012-12-22,21200390,2012-13,7.4,0.150862068965517,30,-1.7,9,9,21,-116.9,-96.1,6.90000000000001,-2.09999999999999,34.8,120.2,0,0,-59.3,-3.40000000000002,9.30000000000002,67.8,18,17.5,-6.2,24.2,68.7,86.2,80,104.2,172,181.3,177.9,118.6,118.6,118.6
Los Angeles Lakers,Golden State Warriors,2012-12-22,21200398,2012-13,1.7,-0.205128205128205,25,-17,3,13,14,48.4,9.2,89.7,-0.300000000000001,-3.1,-38.2,0,0,0,12.5,40.2,20.2,-17.4,-16.6,-21.2,3.8,4.7,-11.9,-33.1,-29.3,-9.1,31.1,43.6,43.6,43.6,43.6
Memphis Grizzlies,Houston Rockets,2012-12-22,21200394,2012-13,-24.3,0.23,23,0.1,-25,18,7,-10.2,9.40000000000001,36.7,40.6,47.6,-10.2,0,0,0,4.2,82.2,25.8,27.9,6.9,-1.7,29.6,-11.5,-4.6,-6.3,23.3,49.1,131.3,135.5,135.5,135.5,135.5
Phoenix Suns,Portland Trail Blazers,2012-12-22,21200397,2012-13,-3.2,-0.0769230769230769,24,-5.4,-3,11,16,-19.1,-79.4,-18.4,25.6,-46.8,-65.5,0,0,0,-13.4,10.9,7.1,-24.2,-14.7,7.3,-31.5,9.9,-4.8,2.5,-29,-21.9,-11,-24.4,-24.4,-24.4,-24.4
Utah Jazz,Miami Heat,2012-12-22,21200392,2012-13,-16,-0.22061191626409,26,3.1,-16,14,14,-100.6,-56.5,-87.8,-63.8,-5.3,-89.8,0,0,0,-3.9,-32.4,-15.7,45.2,-66.3,68.5,-23.3,-43.9,-110.2,-41.7,-65,-80.7,-113.1,-117,-117,-117,-117
Dallas Mavericks,San Antonio Spurs,2012-12-23,21200402,2012-13,-38.5,-0.26984126984127,26,-3.1,-38,12,16,-125.2,-2.8,-97.3,-133.1,-19.2,-186.3,0,0,0,-14.2,-43,-106.1,-24.6,-29.1,-0.899999999999999,-23.7,-6,-35.1,-36,-59.7,-165.8,-208.8,-223,-223,-223,-223
